
time (s)          v("/Vout" ?resultsDir "/home/netware/users/raposo/simulation/Comparador/spectre/schematic" ?result "tran") (V)

    0                 1.8           
  300u                1.8           
  812.049u            1.8           
    1.40074m          1.8           
    2.57811m          1.8           
    4.93286m          1.8           
    9.64236m          1.8           
   15.6424m           1.8           
   21.6424m           1.8           
   27.6424m           1.8           
   33.6424m           1.8           
   39.6424m           1.8           
   45.6424m           1.8           
   51.6424m           1.8           
   53.1424m           1.8           
   56.1424m           1.79999       
   62.1424m           1.79989       
   68.1424m           1.79901       
   69.6424m           1.79853       
   72.6424m           1.7975        
   74.1424m           1.7972        
   74.8924m           1.79716       
   76.3924m           1.79728       
   77.1424m           1.79745       
   78.6424m           1.79792       
   81.6424m           1.79894       
   87.6424m           1.79989       
   93.6424m           1.79999       
   99.6424m           1.8           
  105.642m            1.8           
  107.142m            1.8           
  110.142m            1.8           
  116.142m            1.8           
  122.142m            1.8           
  128.142m            1.8           
  134.142m            1.8           
  140.142m            1.8           
  146.142m            1.8           
  152.142m            1.8           
  158.142m            1.79998       
  164.142m            1.79976       
  170.142m            1.79835       
  171.642m            1.79782       
  174.642m            1.79716       
  176.142m            1.79724       
  176.892m            1.79739       
  178.392m            1.79783       
  181.392m            1.79887       
  187.392m            1.79988       
  193.392m            1.79998       
  199.392m            1.80001       
  205.392m            1.79999       
  206.892m            1.80001       
  209.892m            1.79999       
  215.892m            1.80001       
  221.892m            1.79999       
  227.892m            1.80001       
  233.892m            1.79999       
  239.892m            1.80001       
  245.892m            1.79999       
  251.892m            1.80001       
  257.892m            1.79998       
  263.892m            1.79979       
  269.892m            1.79843       
  271.392m            1.79791       
  274.392m            1.79716       
  274.767m            1.79718       
  275.517m            1.79715       
  277.017m            1.79743       
  280.017m            1.79839       
  286.017m            1.79979       
  292.017m            1.79997       
  296.009m            1.80002       
  300m                1.79998       
